Lake_code,Lake_abbr,Year,Period,B_mys,B_amp,Rel_mys,Rel_amp,PC_mys,PC_amp,PC,Area,Depth_max,Depth_ave,Flow,Lat,Lon,PeriodStrict
LTL221,Ukoj,2003,P2,0,1,0,1,0,0,absent,210,30.5,11.3,155,55.37258,25.97065,P2
LTL171,Zara,2003,P2,1,1,3,3,0,0,absent,326.6,36.6,11.5,124,55.72683,26.2333,P2
LTL43,Dusi,2005,P2,0,0,0,0,3,3,present,2334,32.6,15.4,6,54.28974,23.688,P2
LTL312,Luod,2008,P2,0,0,0,0,0,0,absent,1302.2,18.4,6.7,35,55.58133,26.20469,P2
LTL327,Lusi,2013,P2,1,1,3,3,2,2,present,391.4,37,13.9,249,55.3331,26.06637,P2
LTL390,Gals,2014,P2,0,1,0,2,0,2,present,386,50.1,14.1,13,54.14572,23.57593,P2
LTL68,Vist,2014,P2,0,1,0,2,0,2,present,1787,47,12.8,10,54.43612,22.74313,P2
LTL39,Sven,2018,P2,0,0,0,0,0,0,absent,442,18.2,6.4,14,55.61331,26.29838,P2
LTL168,Galv,2020,P2,0,1,0,1,0,0,absent,371.2,46.8,13.6,20,54.66051,24.93197,P2
LTL336,Aise,2021,P2,1,1,3,2,0,0,absent,501.2,40,10.4,123,55.30818,25.7549,P2
LTL449,Asve,2021,P2,1,1,3,3,0,1,present,1015.1,50.2,14.9,46,55.04408,25.50682,P2
LTL358,Bali,2021,P2,1,1,3,2,0,0,absent,251.6,37.5,12.5,52,55.04511,25.56411,P2
LTL211,Bals,2021,P2,1,1,1,1,1,0,present,427.3,33.1,10.7,103,55.4029,26.02475,P2
LTL327,Lusi,2021,P2,1,1,2,3,2,2,present,391.4,37,13.9,249,55.3331,26.06637,P2
LTL340,Pers,2021,P2,0,0,0,0,0,0,absent,215.7,32.5,7.9,119,55.21899,25.79639,P2
LTL171,Zara,2021,P2,1,1,3,3,0,0,absent,326.6,36.6,11.5,124,55.72683,26.2333,P2
